"filename", "language", "Go Checksum File", "Go", "Go Template File", "pip requirements", "Go Module File", "comment", "blank", "total"
"/home/mini-k8s/pkg/kubeapiserver/watch/watchtable.go", "Go", 0, 5, 0, 0, 0, 0, 4, 9
"/home/mini-k8s/pkg/kubectl/cmd/apply.go", "Go", 0, 41, 0, 0, 0, 0, 8, 49
"/home/mini-k8s/pkg/kubectl/cmd/delete.go", "Go", 0, 37, 0, 0, 0, 0, 7, 44
"/home/mini-k8s/pkg/kubectl/cmd/describe.go", "Go", 0, 55, 0, 0, 0, 0, 12, 67
"/home/mini-k8s/pkg/kubectl/cmd/get.go", "Go", 0, 127, 0, 0, 0, 0, 13, 140
"/home/mini-k8s/pkg/kubectl/cmd/root.go", "Go", 0, 27, 0, 0, 0, 0, 10, 37
"/home/mini-k8s/pkg/kubectl/doc.go", "Go", 0, 1, 0, 0, 0, 0, 0, 1
"/home/mini-k8s/pkg/kubectl/test/http.go", "Go", 0, 17, 0, 0, 0, 0, 3, 20
"/home/mini-k8s/pkg/kubectl/test/http_test.go", "Go", 0, 17, 0, 0, 0, 0, 3, 20
"/home/mini-k8s/pkg/kubectl/test/kubectl_test.go", "Go", 0, 18, 0, 0, 0, 0, 4, 22
"/home/mini-k8s/pkg/kubectl/utils/utils.go", "Go", 0, 39, 0, 0, 0, 0, 8, 47
"/home/mini-k8s/pkg/kubedns/nginx/nginx.tmpl", "Go Template File", 0, 0, 14, 0, 0, 0, 2, 16
"/home/mini-k8s/pkg/kubedns/nginx/nginxeditor.go", "Go", 0, 87, 0, 0, 0, 0, 14, 101
"/home/mini-k8s/pkg/kubedns/nginx/nginxeditor_test.go", "Go", 0, 54, 0, 0, 0, 0, 4, 58
"/home/mini-k8s/pkg/kubelet/container/clientutil.go", "Go", 0, 7, 0, 0, 0, 0, 3, 10
"/home/mini-k8s/pkg/kubelet/container/container.go", "Go", 0, 238, 0, 0, 0, 0, 17, 255
"/home/mini-k8s/pkg/kubelet/container/container_test.go", "Go", 0, 234, 0, 0, 0, 0, 15, 249
"/home/mini-k8s/pkg/kubelet/container/containerutil.go", "Go", 0, 75, 0, 0, 0, 0, 13, 88
"/home/mini-k8s/pkg/kubelet/kubelet.go", "Go", 0, 113, 0, 0, 0, 0, 8, 121
"/home/mini-k8s/pkg/kubelet/metricsserver/handler.go", "Go", 0, 21, 0, 0, 0, 0, 6, 27
"/home/mini-k8s/pkg/kubelet/metricsserver/metricserver.go", "Go", 0, 28, 0, 0, 0, 0, 6, 34
"/home/mini-k8s/pkg/kubelet/pod/pod.go", "Go", 0, 223, 0, 0, 0, 0, 19, 242
"/home/mini-k8s/pkg/kubelet/pod/pod_test.go", "Go", 0, 261, 0, 0, 0, 0, 12, 273
"/home/mini-k8s/pkg/kubelet/pod/podutil.go", "Go", 0, 38, 0, 0, 0, 0, 5, 43
"/home/mini-k8s/pkg/kubelet/pod/podutil_test.go", "Go", 0, 29, 0, 0, 0, 0, 5, 34
"/home/mini-k8s/pkg/kubelet/run.go", "Go", 0, 22, 0, 0, 0, 0, 4, 26
"/home/mini-k8s/pkg/kubelet/utils/helper.go", "Go", 0, 24, 0, 0, 0, 0, 6, 30
"/home/mini-k8s/pkg/kubeproxy/ipvs/ops.go", "Go", 0, 124, 0, 0, 0, 0, 21, 145
"/home/mini-k8s/pkg/kubeproxy/ipvs/state.go", "Go", 0, 14, 0, 0, 0, 0, 5, 19
"/home/mini-k8s/pkg/kubeproxy/proxy.go", "Go", 0, 127, 0, 0, 0, 0, 28, 155
