"filename", "language", "Go Checksum File", "Go", "Go Module File", "pip requirements", "Go Template File", "comment", "blank", "total"
"/home/mini-k8s/pkg/kubeapiserver/run.go", "Go", 0, 11, 0, 0, 0, 0, 3, 14
"/home/mini-k8s/pkg/kubeapiserver/storage/ectd_test.go", "Go", 0, 90, 0, 0, 0, 0, 15, 105
"/home/mini-k8s/pkg/kubeapiserver/storage/etcd.go", "Go", 0, 246, 0, 0, 0, 0, 30, 276
"/home/mini-k8s/pkg/kubeapiserver/watch/list.go", "Go", 0, 42, 0, 0, 0, 0, 16, 58
"/home/mini-k8s/pkg/kubeapiserver/watch/watch.go", "Go", 0, 66, 0, 0, 0, 0, 15, 81
"/home/mini-k8s/pkg/kubeapiserver/watch/watchtable.go", "Go", 0, 5, 0, 0, 0, 0, 4, 9
"/home/mini-k8s/pkg/kubectl/cmd/apply.go", "Go", 0, 47, 0, 0, 0, 0, 8, 55
"/home/mini-k8s/pkg/kubectl/cmd/delete.go", "Go", 0, 37, 0, 0, 0, 0, 7, 44
"/home/mini-k8s/pkg/kubectl/cmd/describe.go", "Go", 0, 55, 0, 0, 0, 0, 12, 67
"/home/mini-k8s/pkg/kubectl/cmd/get.go", "Go", 0, 167, 0, 0, 0, 0, 15, 182
"/home/mini-k8s/pkg/kubectl/cmd/root.go", "Go", 0, 27, 0, 0, 0, 0, 10, 37
"/home/mini-k8s/pkg/kubectl/doc.go", "Go", 0, 1, 0, 0, 0, 0, 0, 1
"/home/mini-k8s/pkg/kubectl/test/http.go", "Go", 0, 17, 0, 0, 0, 0, 3, 20
"/home/mini-k8s/pkg/kubectl/test/http_test.go", "Go", 0, 17, 0, 0, 0, 0, 3, 20
"/home/mini-k8s/pkg/kubectl/test/kubectl_test.go", "Go", 0, 18, 0, 0, 0, 0, 4, 22
"/home/mini-k8s/pkg/kubectl/utils/utils.go", "Go", 0, 39, 0, 0, 0, 0, 9, 48
"/home/mini-k8s/pkg/kubedns/nginx/nginx.tmpl", "Go Template File", 0, 0, 0, 0, 14, 0, 2, 16
"/home/mini-k8s/pkg/kubedns/nginx/nginxeditor.go", "Go", 0, 83, 0, 0, 0, 0, 14, 97
"/home/mini-k8s/pkg/kubedns/nginx/nginxeditor_test.go", "Go", 0, 54, 0, 0, 0, 0, 4, 58
"/home/mini-k8s/pkg/kubelet/container/container.go", "Go", 0, 245, 0, 0, 0, 0, 17, 262
"/home/mini-k8s/pkg/kubelet/container/container_test.go", "Go", 0, 262, 0, 0, 0, 0, 15, 277
"/home/mini-k8s/pkg/kubelet/container/containerutil.go", "Go", 0, 64, 0, 0, 0, 0, 12, 76
"/home/mini-k8s/pkg/kubelet/image/image.go", "Go", 0, 52, 0, 0, 0, 0, 4, 56
"/home/mini-k8s/pkg/kubelet/image/image_test.go", "Go", 0, 30, 0, 0, 0, 0, 3, 33
"/home/mini-k8s/pkg/kubelet/kubelet.go", "Go", 0, 133, 0, 0, 0, 0, 13, 146
"/home/mini-k8s/pkg/kubelet/metricsserver/handler.go", "Go", 0, 27, 0, 0, 0, 0, 6, 33
"/home/mini-k8s/pkg/kubelet/metricsserver/metricserver.go", "Go", 0, 28, 0, 0, 0, 0, 6, 34
"/home/mini-k8s/pkg/kubelet/pod/pod.go", "Go", 0, 246, 0, 0, 0, 0, 28, 274
"/home/mini-k8s/pkg/kubelet/pod/pod_test.go", "Go", 0, 312, 0, 0, 0, 0, 16, 328
"/home/mini-k8s/pkg/kubelet/pod/podutil.go", "Go", 0, 38, 0, 0, 0, 0, 5, 43
"/home/mini-k8s/pkg/kubelet/pod/podutil_test.go", "Go", 0, 29, 0, 0, 0, 0, 5, 34
"/home/mini-k8s/pkg/kubelet/run.go", "Go", 0, 25, 0, 0, 0, 0, 4, 29
"/home/mini-k8s/pkg/kubelet/utils/helper.go", "Go", 0, 42, 0, 0, 0, 0, 8, 50
"/home/mini-k8s/pkg/kubeproxy/ipvs/ops.go", "Go", 0, 124, 0, 0, 0, 0, 21, 145
"/home/mini-k8s/pkg/kubeproxy/ipvs/state.go", "Go", 0, 14, 0, 0, 0, 0, 5, 19
"/home/mini-k8s/pkg/kubeproxy/proxy.go", "Go", 0, 128, 0, 0, 0, 0, 28, 156
